Source,title,description,url,image,date,keyword
https://www.cbc.ca/,Elon Musk's Tesla says it has solved its Toronto streetcar problem. Safety experts aren't so sure | CBC News,"Tesla drivers can finally use the company’s Full Self-Driving software in downtown Toronto, but that's got some road safety advocates concerned.",//www.cbc.ca/news/canada/toronto/tesla-driverless-technology-downtown-toronto-1.6662340,//i.cbc.ca/1.6662623.1669296792!/cumulusImage/httpImage/image.jpg_gen/derivatives/16x9_620/tesla-supercharging-stations.jpg,2022-11-24,tesla
https://www.cbc.ca/,Are the tail lights on your Tesla finicky? Your car might be recalled | CBC News,"Tesla is recalling more than 300,000 vehicles in the U.S. because a software glitch can make tail lights go off intermittently, increasing the risk of a collision.",//www.cbc.ca/news/world/tesla-recall-elon-musk-1.6657792,//i.cbc.ca/1.6657794.1668879982!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/financial-markets-top-trends.jpg,2022-11-19,tesla
https://www.cbc.ca/,Elon Musk now owns Twitter,"Elon Musk completed his $44-billion US acquisition of Twitter late on Thursday and almost immediately fired the company's CEO, CFO and head of legal. Questions linger over whether users previously given permanent bans will be reinstated.",//www.cbc.ca/player/play/2092622403826,//thumbnails.cbc.ca/maven_legacy/thumbnails/929/247/Musk_MPX.jpg,2022-10-28,tesla
https://www.cbc.ca/,Can Sudbury benefit from deals to supply nickel to GM and Tesla? The city's new mayor thinks so | CBC News,"The growing market for electric vehicles and their batteries presents new opportunities for northern Ontario cities like Sudbury, says the city’s new mayor.",//www.cbc.ca/news/canada/sudbury/sudbury-electric-vehicle-market-1.6659289,//i.cbc.ca/1.6520463.1657812072!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/paul-lefebvre.jpg,2022-11-22,tesla
https://www.cbc.ca/,Elon Musk reveals Tesla staff are helping at Twitter in testimony during shareholder lawsuit | CBC News,Tesla chief executive Elon Musk testified on Wednesday that some of the carmaker's employees are performing certain jobs at Twitter as he evaluates whether more of the social media platform's staff should be axed. Musk made the comments in a Delaware courtroom Wednesday while giving testimony to defend himself in a shareholder lawsuit challenging a compensation package that he was awarded by Tesla's board of directors.,//www.cbc.ca/news/world/elon-musk-defends-tesla-1.6653401,//i.cbc.ca/1.6653537.1668619421!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/tesla-musk-compensation-lawsuit.jpg,2022-11-16,tesla
https://www.cbc.ca/,Tesla may get into ride-hailing business in 2017,Tesla hinted at a possible moving into ride hailing when it announced earlier this week that all of its cars would come equipped with hardware needed to drive themselves.,//www.cbc.ca/news/business/tesla-ride-sharing-1.3815571,//i.cbc.ca/1.3794212.1475774241!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/usa-business.jpg,2016-10-21,tesla
https://www.cbc.ca/,Dozens line up for Tesla Model 3 in Vancouver | CBC,"Dozens of people lined up for days outside Tesla Motors on Robson Street, just to put a deposit on what is expected to be Tesla's most affordable electric car.",//www.cbc.ca/news/canada/british-columbia/dozens-line-up-for-tesla-model-3-in-vancouver-1.3514068,//i.cbc.ca/1.3514079.1459439015!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/tesla-lineup-vancouver-1.jpg,2016-03-31,tesla
https://www.cbc.ca/,Vale signs deal with Tesla to provide Voisey's Bay nickel for electric vehicles | CBC News,Vale Newfoundland and Labrador said a deal with electric vehicle giant Tesla is an important partnership.,//www.cbc.ca/news/canada/newfoundland-labrador/vale-tesla-nickel-deal-1.6368459,//i.cbc.ca/1.6444345.1655402087!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/vale-nickel-tesla.jpg,2022-05-06,tesla
https://www.cbc.ca/,Tesla and Radio Flyer unveil the Model S,Lithium battery-powered car created for kids,//www.cbc.ca/player/play/2683995391,//thumbnails.cbc.ca/maven_legacy/thumbnails/685/919/STILLteslaKids.jpg,2016-02-18,tesla
https://www.cbc.ca/,Elon Musk personally hires 2 Newfoundland interns who solved problems at Tesla factory | CBC News,Two engineering students made such a good impression on Tesla and SpaceX founder Elon Musk that he personally offered them a job right on the spot.,//www.cbc.ca/news/canada/newfoundland-labrador/elon-musk-tesla-newfoundland-interns-hired-1.4663270,//i.cbc.ca/1.4663353.1526459331!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/mark-comeau-and-matthew-lane-tesla.jpg,2018-05-15,tesla
